,freesound_id,license,name,path,tags,username
44,490111,http://creativecommons.org/licenses/by/3.0/,Open book,files/490111_10574339-hq.ogg,"['Pages', 'Paper', 'Library', 'Notebook', 'Drag', 'Arrastrar', 'Libro', 'Textbook', 'Papel', 'Flippages', 'Book', 'Office']",manuelaurreaf
45,202534,http://creativecommons.org/publicdomain/zero/1.0/,Books02.wav,files/202534_2054457-hq.ogg,"['old', 'scrape', 'pages', 'paper', 'books', 'bend', 'bookshelf', 'book']",Abolla
46,140606,http://creativecommons.org/licenses/by/3.0/,Book on table 2012-1-4.wav,files/140606_646701-hq.ogg,"['bump', 'stomp', 'percussion', 'bang', 'book', 'Dare-9', 'table']",Kyster
47,330034,http://creativecommons.org/licenses/by/3.0/,Book_Manipulate.wav,files/330034_61794-hq.ogg,"['paper', 'turn', 'book', 'page']",Nanashi
48,209634,http://creativecommons.org/publicdomain/zero/1.0/,book scale5,files/209634_3920373-hq.ogg,"['book', 'scale', 'percussive']",nellinkowanej
49,484898,http://creativecommons.org/publicdomain/zero/1.0/,Book Drop - 2,files/484898_6150892-hq.ogg,"['book', 'slam', 'reading', 'closing', 'close', 'newspaper', 'paper', 'magazine', 'library', 'bang', 'drop', 'read', 'crash', 'thud', 'impact']",SpaceJoe
50,394962,http://creativecommons.org/licenses/by/3.0/,wave close coast small 003.wav,files/394962_1648170-hq.ogg,"['small', 'shore', 'ocean', 'seaside', 'stereo', 'coast', 'breaking-waves', 'waves', 'water', 'wave', 'lapping', 'field-recording', 'surf', 'beach', 'splash', '1', 'sand', 'breaking', 'crashing', 'close', 'sea', 'seashore', 'single', 'gentle', 'splashing', 'coastal']",klankbeeld
51,61011,http://creativecommons.org/licenses/by/3.0/,wave1.wav,files/61011_576536-hq.ogg,"['boat', 'sea', 'ship', 'water', 'wave']",Kayyy
52,61012,http://creativecommons.org/licenses/by/3.0/,wave2.wav,files/61012_576536-hq.ogg,"['boat', 'sea', 'ship', 'water', 'wave']",Kayyy
53,61013,http://creativecommons.org/licenses/by/3.0/,wave3.wav,files/61013_576536-hq.ogg,"['boat', 'sea', 'ship', 'water', 'wave']",Kayyy
54,61014,http://creativecommons.org/licenses/by/3.0/,wave4.wav,files/61014_576536-hq.ogg,"['boat', 'sea', 'ship', 'water', 'wave']",Kayyy
55,49095,http://creativecommons.org/licenses/by-nc/3.0/,washing_machine_rinse_loop.mp3,files/49095_8238-hq.ogg,"['machine', 'rinse', 'valve', 'wash', 'washing', 'water']",Greg Baumont
56,70161,http://creativecommons.org/licenses/by/3.0/,washing machine_wash cycle.wav,files/70161_1022651-hq.ogg,"['cycle', 'industrial', 'machine', 'wash', 'washing', 'water']",JustinBW
57,331419,http://creativecommons.org/publicdomain/zero/1.0/,Washing Machine Beep,files/331419_3832191-hq.ogg,"['beep', 'washing', 'artificial', 'machine', 'wash', 'laundry', 'washer', 'laundromat', 'clothes']",warrenXG
58,11573,http://creativecommons.org/publicdomain/zero/1.0/,washmachine close.WAV,files/11573_31600-hq.ogg,"['bathroom', 'close', 'door', 'machine', 'washing']",samplecat
59,371829,http://creativecommons.org/publicdomain/zero/1.0/,I8_dryer.mp3,files/371829_5302340-hq.ogg,"['washing', 'drying', 'machine']",Iamgiorgio
60,238712,http://creativecommons.org/publicdomain/zero/1.0/,washingmachine.wav,files/238712_1425819-hq.ogg,"['machine', 'washing-machine', 'washing', 'domestic', 'kitchen']",echobones
